[2025-11-24 14:21:05] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9953cab15555671fe3c1bee71c0b438c).
[2025-11-24 14:21:05] [DEBUG   ] discord.client: Dispatching event connect
[2025-11-24 14:21:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_subscription_count': 0, 'joined_at': '2025-11-21T21:28:58.051000+00:00', 'public_updates_channel_id': None, 'soundboard_sounds': [], 'default_message_notifications': 0, 'explicit_content_filter': 0, 'profile': None, 'activity_instances': [], 'region': 'deprecated', 'owner_id': '585112803887546379', 'nsfw': False, 'mfa_level': 0, 'id': '1365025368653824111', 'emojis': [{'version': 1747751371036, 'roles': [], 'require_colons': True, 'name': 'kai_twerk', 'managed': False, 'id': '1374393531585659080', 'available': True, 'animated': True}], 'name': 'Casual Roleplay', 'members': [{'user': {'username': 'PereBot', 'public_flags': 0, 'primary_guild': None, 'id': '1441496998367990021', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8615', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1441540920313909423'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-21T21:28:58.051000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_id': None, 'guild_scheduled_events': [], 'unavailable': False, 'presences': [], 'threads': [], 'premium_progress_bar_enabled': False, 'max_stage_video_channel_users': 50, 'afk_timeout': 300, 'member_count': 3, 'premium_features': None, 'description': None, 'stickers': [{'version': 1753036975967, 'type': 2, 'tags': 'face_with_raised_eyebrow', 'name': 'me?', 'id': '1396563041029718107', 'guild_id': '1365025368653824111', 'format_type': 1, 'description': '', 'available': True}, {'version': 1753036977547, 'type': 2, 'tags': 'face_with_raised_eyebrow', 'name': 'me?', 'id': '1396563048038137876', 'guild_id': '1365025368653824111', 'format_type': 1, 'description': '', 'available': True}, {'version': 1755969229879, 'type': 2, 'tags': 'sauropod', 'name': 'braces', 'id': '1408861805744230682', 'guild_id': '1365025368653824111', 'format_type': 1, 'description': 'hdjd', 'available': True}, {'version': 1759864516070, 'type': 2, 'tags': '😲', 'name': 'tails shocked', 'id': '1425199820196417728', 'guild_id': '1365025368653824111', 'format_type': 1, 'description': '', 'available': True}], 'banner': None, 'moderator_reporting': None, 'home_header': None, 'system_channel_flags': 0, 'embedded_activities': [], 'incidents_data': None, 'splash': None, 'preferred_locale': 'en-US', 'stage_instances': [], 'inventory_settings': None, 'nsfw_level': 0, 'verification_level': 0, 'latest_onboarding_question_id': None, 'hub_type': None, 'voice_states': [], 'application_command_counts': {}, 'safety_alerts_channel_id': None, 'features': [], 'roles': [{'version': 1745517808929, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1365025368653824111', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1763760497969, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '8', 'name': 'Wunkus', 'mentionable': False, 'managed': False, 'id': '1365027358939025459', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1748625180337, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Proteccor', 'mentionable': False, 'managed': False, 'id': '1365027497183412346', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1763760538015, 'unicode_emoji': None, 'tags': {'bot_id': '1441496998367990021'}, 'position': 1, 'permissions': '326417902656', 'name': 'PereBot', 'mentionable': False, 'managed': True, 'id': '1441540920313909423', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'rules_channel_id': None, 'large': False, 'premium_tier': 0, 'discovery_splash': None, 'channels': [{'version': 1745517808962, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1365025369119264978', 'flags': 0}, {'version': 1756769606080, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'general', 'last_pin_timestamp': '2025-09-01T23:33:26.067000+00:00', 'last_message_id': '1442595857924096091', 'id': '1365025369119264980', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1745517874543, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'shitposts', 'last_message_id': '1442293710871072869', 'id': '1365025644253024306', 'flags': 0}, {'version': 1745517883656, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'porn-lmao', 'last_message_id': '1442166342252888167', 'id': '1365025682480042005', 'flags': 0}, {'version': 1745517893820, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'rp-plot-discussion', 'last_message_id': '1438342472794116281', 'id': '1365025725085909163', 'flags': 0}, {'version': 1745517917314, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'The Roleplay Area', 'id': '1365025823614173286', 'flags': 0}, {'version': 1745517933311, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1365025823614173286', 'name': 'swift-x-kaeya', 'last_message_id': '1438339922187780166', 'id': '1365025890731429911', 'flags': 0}, {'version': 1745517946006, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'suggestions', 'last_message_id': None, 'id': '1365025943973793924', 'flags': 0}, {'version': 1746392133378, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'terraria', 'last_message_id': '1410035591717851146', 'id': '1368692551564918835', 'flags': 0}, {'version': 1747576159131, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [], 'parent_id': '1365025823614173286', 'name': 'noncanon-erp', 'last_message_id': '1389788459174199519', 'id': '1373658715533869177', 'flags': 0}, {'version': 1748968266905, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'Antics', 'last_message_id': None, 'id': '1379497638700912701', 'flags': 0, 'bitrate': 64000}, {'version': 1749260665227, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'baldurs-gayte', 'last_message_id': '1399504391559450704', 'id': '1380724046181961748', 'flags': 0}, {'version': 1761670470247, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '1365025369119264978', 'name': 'montor-huntor', 'last_message_id': '1440870406029574215', 'id': '1432774541033209946', 'flags': 0}], 'system_channel_id': '1365025369119264980', 'max_video_channel_users': 25, 'max_members': 25000000, 'owner_configured_content_level': 0, 'afk_channel_id': None, 'version': 1759864516089, 'lazy': True, 'icon': '5e9c10b63c4e57dbeb6b34969c4c560c', 'vanity_url_code': None}}
[2025-11-24 14:21:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-24 14:21:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'premium_subscription_count': 0, 'joined_at': '2025-11-21T18:48:54.432000+00:00', 'public_updates_channel_id': None, 'soundboard_sounds': [], 'default_message_notifications': 0, 'explicit_content_filter': 0, 'profile': None, 'activity_instances': [], 'region': 'deprecated', 'owner_id': '520863747120824320', 'nsfw': False, 'mfa_level': 0, 'id': '1441499477054849066', 'emojis': [], 'name': "Kaeya's super cool Testing Facility that also might have porn in it", 'members': [{'user': {'username': 'PereBot', 'public_flags': 0, 'primary_guild': None, 'id': '1441496998367990021', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8615', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1441500633571131465'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-21T18:48:54.432000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_id': None, 'guild_scheduled_events': [], 'unavailable': False, 'presences': [], 'threads': [], 'premium_progress_bar_enabled': False, 'max_stage_video_channel_users': 50, 'afk_timeout': 300, 'member_count': 6, 'premium_features': None, 'description': None, 'stickers': [], 'banner': None, 'moderator_reporting': None, 'home_header': None, 'system_channel_flags': 0, 'embedded_activities': [], 'incidents_data': None, 'splash': None, 'preferred_locale': 'en-US', 'stage_instances': [], 'inventory_settings': None, 'nsfw_level': 0, 'verification_level': 0, 'latest_onboarding_question_id': None, 'hub_type': None, 'voice_states': [], 'application_command_counts': {}, 'safety_alerts_channel_id': None, 'features': [], 'roles': [{'version': 1763750657495, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1441499477054849066', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1763750967431, 'unicode_emoji': None, 'tags': {'bot_id': '1441496998367990021'}, 'position': 1, 'permissions': '563276371323968', 'name': 'PereBot', 'mentionable': False, 'managed': True, 'id': '1441500633571131465', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'rules_channel_id': None, 'large': False, 'premium_tier': 0, 'discovery_splash': None, 'channels': [{'version': 1763750657518, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1441499478518534228', 'flags': 0}, {'version': 1763750657556, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1441499478518534229', 'flags': 0}, {'version': 1763750657598, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1441499478518534228', 'name': 'general', 'last_message_id': '1442588795093385317', 'id': '1441499479076245727', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1763750657615, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1441499478518534229', 'name': 'General', 'last_message_id': None, 'id': '1441499479076245728', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1763757186023, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1441499478518534228', 'name': 'bot-testing', 'last_message_id': '1442593523852378243', 'id': '1441526861351096420', 'flags': 0}, {'version': 1763768876603, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1441499478518534228', 'name': 'update-log', 'last_message_id': '1442500125162471535', 'id': '1441575895121920140', 'flags': 0}], 'system_channel_id': '1441499479076245727', 'max_video_channel_users': 25, 'max_members': 25000000, 'owner_configured_content_level': 0, 'afk_channel_id': None, 'version': 1763750871417, 'lazy': True, 'icon': 'f17fed8b49e7b32291aec744bdf63920', 'vanity_url_code': None}}
[2025-11-24 14:21:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-24 14:21:05] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-11-24 14:21:05] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-11-24 14:21:07] [DEBUG   ] discord.client: Dispatching event ready
[2025-11-24 14:21:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-24T19:21:10.622000+00:00', 'pinned': False, 'nonce': '1442595928136482816', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-21T18:44:17.198000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1442595924856668371', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '~track', 'components': [], 'channel_type': 0, 'channel_id': '1441526861351096420', 'author': {'username': 'dacooldog', 'public_flags': 128, 'primary_guild': {'tag': 'FOX', 'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'id': '520863747120824320', 'global_name': 'DaCoolDog', 'display_name_styles': {'font_id': 11, 'effect_id': 1, 'colors': [1628845]}, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'FOX', 'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'avatar_decoration_data': None, 'avatar': '1e8c79ba4ee8d1a3e172fd42f478b541'}, 'attachments': [], 'guild_id': '1441499477054849066'}}
